,고객번호,14년 1분기,14년 2분기,14년 3분기,14년 4분기,15년 1분기,15년 2분기,15년 3분기,15년 4분기
0,00001,9141590.0,10783765.0,10781550.0,23334762.0,9302985.0,8595380.0,7806580.0,5295938.0
1,00002,14123470.0,10199760.0,14841180.0,7080920.0,18481480.0,9310130.0,13842600.0,12001220.0
2,00003,302782.0,548433.0,648188.0,394366.0,279310.0,312970.0,421017.0,258101.0
3,00004,1309643.0,3732463.0,2434410.0,1823100.0,1737292.0,1919645.0,2127112.0,1610145.0
4,00005,3145330.0,2314820.0,1827290.0,398440.0,2124430.0,810500.0,,2616260.0
5,00006,2166006.0,3115284.0,3163273.0,2950816.0,3619234.0,2769821.0,3518094.0,3203889.0
6,00007,10635873.0,2842322.0,4711569.0,16221723.0,9134885.0,11888419.0,3319835.0,14971650.0
7,00008,6431112.0,5264270.0,6999500.0,11151680.0,7093910.0,7412510.0,7813340.0,10189630.0
8,00009,14363590.0,23903830.0,16911080.0,22951170.0,54368620.0,29620190.0,22095770.0,19718490.0
9,00010,2545073.0,2585853.0,2252934.0,1971990.0,2874593.0,2393834.0,2173925.0,1752725.0
10,00011,12578805.0,14845270.0,31901274.0,12749810.0,2922370.0,30433830.0,3634060.0,19953790.0
11,00012,999514.0,195980.0,481510.0,350222.0,285114.0,948230.0,2199766.0,949631.0
12,00013,1783676.0,2130848.0,1678418.0,2569697.0,2431089.0,2628902.0,2595389.0,1891827.0
13,00014,4150262.0,5353851.0,4759656.0,3281918.0,6084070.0,5337494.0,3078767.0,2521718.0
14,00015,4040641.0,5575937.0,2812584.0,1318027.0,3121496.0,5265642.0,1741891.0,1239026.0
15,00016,704160.0,564300.0,1146620.0,1797500.0,2351615.0,1303080.0,1289080.0,1773750.0
16,00017,25367641.0,24631060.0,5431210.0,14658320.0,4307450.0,20675778.0,19894529.0,27853117.0
17,00018,41076760.0,21355512.0,12067162.0,880500.0,1741090.0,1053230.0,1466025.0,968780.0
18,00019,6008260.0,4799320.0,2419340.0,6875320.0,3136780.0,7922630.0,6350470.0,5436250.0
19,00020,3318350.0,3087640.0,2442550.0,1826440.0,3752950.0,2872000.0,2402700.0,3019880.0
20,00021,2339587.0,2231444.0,3035542.0,2378792.0,3162941.0,4023363.0,2866139.0,2681756.0
21,00022,11679660.0,31765890.0,11134270.0,29189110.0,29939700.0,7559500.0,2574750.0,21847690.0
22,00023,6292554.0,8010770.0,7185650.0,25150027.0,8443070.0,7021480.0,8559020.0,7961860.0
23,00024,1104633.0,1783763.0,1932490.0,1710847.0,1279580.0,1010933.0,1601830.0,1656282.0
24,00025,1173292.0,2962030.0,2768550.0,2081530.0,11617551.0,7631830.0,2508010.0,16105650.0
25,00026,13963527.0,17219220.0,8233090.0,42898490.0,17127590.0,7677926.0,7652230.0,12459791.0
26,00027,14142790.0,6453126.0,4495610.0,3411150.0,7889490.0,5760890.0,14668500.0,3239460.0
27,00028,737627.0,1320569.0,644116.0,1179332.0,711293.0,1327701.0,1905499.0,851063.0
28,00029,10064040.0,15525420.0,8707914.0,9524876.0,9975735.0,10375159.0,8613456.0,13175771.0
29,00030,8211881.0,12305855.0,12137638.0,17797781.0,10337927.0,16834619.0,12279817.0,16210548.0
